genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[102]ttcpQIviecylcwHDcgocHcjcfoKccmoCmBncIPcPBpycxhJEfyQtKyafQQKlIpaHoHbnlFOaEhKEeNdciftFlNbbPLhctdfOjcccLv",1.7864e+10,48422.9,308,475,103,1, 145
"[99]RcHRvoBumQucEbJAFccKwbRRicQExQMoOuficPFDfpOQcIIarackLyFIjcnFkatyPRsctGirOowvQvwbbIHkcfcKNHbhKcDcjlL",1.70723e+09,4.88635e+07,328,428,93,0, 146
"[83]DbBIDeKmBsQhwCcisajPuHFaCiJKsMOdJdELIcBcKoczgyHHHuAhcIFMdgHQIunEcpeRHOMofeHiocHRQPI",1.18799e+08,446286,1817,485,192,0, 147
"[80]GjtfoyiKjQJEajhcsKHhIBpccbegjbccRHgcPpRNaencIibQRQDFmMHtqMzeoKMckhHweerMbiNpKdMb",1.04639e+08,3590.79,1148,344,53,1, 148
"[101]QcOKcnQbNHDafiFpAhcMHyeIiiccwjcFcOIBkHHCNJOkakIExFPbyApxFDhNqRsPECgMbpuetRBQbacQKfnHIHsfiQekOAQuHPfmK",33089.5,14502.3,2065,195,31,1, 149
"[92]axIcQceIycMrOMEcHaKjciRNzyHMBeaaPcqKxcmcNpKgptDcLHyMQCvaIyLjKAhDpGPNwiDyENprKmcpxpPdLgjlFMzd",7.34771e+09,3.8255e+10,460,604,246,0, 15
"[101]bfHOauOvdQNicKccccgcRidqccREcapOrvecccicjcOiwIwLFmcqfxudccqPfcMoQIqswshcEqaNEIsNyDyaIdDcIcuLJhczHNnfD",1.18799e+08,2785.88,413,405,112,0, 150
"[92]DCaaMQgqOCxGgEbPwPfNKbNGghQNcaoaunIHMaKcRacnILcGicccBfgqcxvqxlcJrtwJkkbfORFzKbwDbDaOlbgnMkEK",5.06685e+12,3.33916e+14,793,461,0,1, 151
"[94]tPzAOpciPueeeazhLBwRwvjrupKOHcvcKcRzLEPxcgcmygFerNBdeLILDednGtccIBcpbAImcOkHLldsbwHxvmcxcqcRiJ",5.44791e+08,286220,774,321,4,0, 152
"[100]NhjeovKcBccnHRBacKvIIAMcxwHvcccwccqnEltpiBxOKcQKfHmkMcMeuaAcLckBLMwoepicaNlAceFNGlccqcccfnMJxcNtrucc",4.03931e+07,125439,331,316,40,1, 153
"[54]HcQIKcMGhIyOlcHnbIHOldPOQnOHHBjHiaikcCicCGDOnqdFuucEHc",142413,29145.8,1506,245,58,0, 154
"[79]mwvbohiMeclepCsrozefMyIaKcOMPcclFhvuHOgKcmncINcqHPfcDLqacOnOGgukpEPRLcEvgIfwwmO",2.34471e+09,252105,1093,703,363,1, 155
"[79]hyeQzNnyOlgcLQdvkQrlKBcfHLrrxQQscHIicccneocHCdNocAKcRHAnImzOFtFezxbDdFdMgiKcnlg",2.32353e+06,22612.4,1012,469,238,0, 156
"[81]HExHemIhrOFsBuQvoKEtaacdtdyclcwKfOhLdofcmoIBQcktqccHHFyzfIsFhikMkdibQcHHzcQbcInQG",2.06524e+09,58576.8,542,405,67,0, 157
"[102]cHBtHmcFBcIocBcIHofgfIHJgCLBPERflvDuJBmgkcuoBReREdowFcQHcyutMvBcjecjMGKIwcjcIOHQijaMHnaKlEnbQaCfoeHMsk",2.16101e+10,3.8603e+06,948,461,86,0, 158
"[59]cQKOxoImMKpfKfBgAnMHKbsabKnaeLzHtKsIKclcPoHRmleRfyvHlROPoAm",151743,1677.03,2314,261,73,2, 159
"[90]uMGPdfqeaanDelamFcegcPcgyFarHHnocPcIpsmtvLtPlIQwFphNyppQJhcdQklsKciHoccIHpEeDcRpifoNBINHKp",103694,3163.3,873,199,17,0, 16
"[102]dQBJmcccQDRccMcccNvHcQdcdfcNOtctcKjPcAKcIcCcmFRkccyAFhpjKIiciyccahbFccIRccKIafxhlHyrLcycAcLNcQBuFgcHPG",1.67656e+10,13610.9,224,390,19,1, 160
"[104]wzapcNzzcfboAKxtoHJPdclvJFtabMHcjhJOHHxzdQrAzpOpGQieBQdjuLIBnMawbDcswQlkoJPcEKccwxHKcRuFMCCPfqCMclexxubf",9.91002e+10,653081,646,465,66,1, 161
"[94]cvcNcEjncrrvFwfuuPvOOcsABdiIloFtbHccKayHPcKsHkdcKcRPccycoccCNdGihccIFjfiffPngNcpccFcQeCwImctFz",2.94111e+07,896938,340,357,86,2, 162
"[89]dcncQcEcoxfcDcwcHcKcRhcocclBcBBfjLOIIwccNfCHRLcBcCRMlLGPPeOEkccpBPGBfeLmIpcccBobEHMwzcFcu",1.26584e+15,1.00002e+07,539,1176,628,2, 163
"[80]cznKyIBckcuLcothQcayAyecLrcNcGOapLcMcnoIufHkKHMQphHQMzKNHaKyKIRBHMyMxAwBczFnFKcq",2.54402e+08,11988.6,578,334,29,3, 164
"[100]OcvxcRcILfMlcNxvAocxhsljextOHAwCbkoxPQdnMFpIycoGtfBfoQtcHIHPrnIHexguIzeKcPcoHMlemfHHPjvnbePcErHufFiR",2.63795e+06,183564,1288,279,46,1, 165
"[103]tcCRGfpGsMvdFEzpAlFpGOgMOMwHdmKqQDpJwjFfHhbIsiDpGGEKgCvIpupcecdIKcgcHKHOAsQsenfbPBoccphLpGOImHPfaecBbPI",133656,5254.15,1308,237,51,1, 166
"[100]ftDcnMEicjKczAiwcQjMgIKctdfdccfHxcaHHLFMcJqcNDtIkcyIAjccoaAgCacCoHhHDJvLaEkffHxnzpqIMFzRsIutgByBvmKN",48422.2,1221.19,1836,253,83,2, 167
"[100]dHrKcpaKFcfwvfInFcEHCcIlcfClgknfliRAeimIKPhHhpIeHDRzekxIrNiwIQQOHwsGggfnwPqvqGDeymotMueLEbcIMaACdAvo",6.074e+09,3.43118e+09,1046,368,13,1, 168
"[101]jABHbQMNjmcwkIoOHuAKAQnvQrbsBsxHcQIFcARcdsQMoLFkNBLwjfOynvyDcwsndkHoHIwwdNkEcmcOQBMGfbOpctMcPacINdANR",1.58779e+06,35258.1,944,279,54,0, 169
"[100]CrjmfIchdoPRBccihxooBAwcqRGPAnPcajgIpgcyPCiscbgHgcHeOFxfcxkcHEEKcIeFbeuuBcQOamuccDbFPNLcHiccciccpoyL",3.72285e+08,35258,534,348,37,0, 17
"[85]fQIogPGHOccHoqnfHtfEKDaQpCurGhDOgFPyIkFrGKcQuqiuvPpFcBfQHIKhhciOcdrwePvxozHIAQNMyvAnc",3.55786e+07,10560.1,1028,436,162,3, 170
"[76]ubdstKmcweqPHipFDspBvqsaflRkJRzIhRlswPvmsedgaQHuoINHJOpJytHOGKoICkGdyINdgLDx",18692.1,6356.56,2735,188,33,0, 171
"[102]nLccnHQncCflrsnhIKvkccyccBczaNNcQvwvLbunBPaGzHecMvcKszcidcAnAEnlcNHOAffpNpOfrxMghcBcRzcrmcxtrBwcNcNApd",3.89548e+09,1.15611e+06,361,651,303,2, 172
"[90]DFicFnIIKcgrRHHHnIocHHqCaglEiqDcfaRIECOHtzckJKLgRlnHeAziLgyBgLBnJuoyJBavalLGEHqMLAPRGghouP",896937,17543,3394,224,8,2, 173
"[96]fpQLckgpbcOPMKMgaoCHEdmyeHqOpKhvLAHNNFeHMJsfgNQPbwBHwdeJndsFOGLuAduwvNohDcaoAMBwImfzeEcMeqHQeetB",9.82052e+07,3590.63,2219,445,155,0, 174
"[92]zEappbnzrKcIzgfpLwNIocHKRoimvugPBjHQLLhBxPcwObEofANKOtHjhNQcuIzEhcOlcLHQcJcHvPGPaipyvHcdkcos",2.76028e+07,42651.7,782,367,97,0, 175
"[90]NyamNjsFzNzPozmEfNzgxKBsQBNcrMnIpacdwKgKdHjcfkcPcCMcrkLLmqCcEvbkexHKrzJPJxcqscMNyvRmdQkigE",40028.3,415.712,1234,207,40,0, 176
"[91]updtFvQBobegvNhuycIPerGmkLcpeQcPftncHHIKcoqMCcezCccPJhCcBchhNfcHQqrgPDOpJBcdcBMlkKRcaLRcrIP",1.38594e+10,142413,611,667,299,0, 177
"[102]zBPeqcAnGQffmDmcKiePJucnmMcgcwcgIclHKOfuARqnukyBduegdNlwolnpyvizBEleeeefBRRMEjywmpzPhywKuxnKcbJzFdyyHv",6.18512e+08,125439,435,464,145,2, 178
"[93]tmgKcAoAkjRfbcrILirnbbMKOIycQcedgoQoccHPcgBzuKgxbcmMFHeHcHdqcHhcIHDPRlfKIiqafBIIqtBdcvAzrtyrE",446285,80449,986,319,114,0, 179
"[77]dpmdAozbPOyIybAfuAdAoPhImHyQOKpAoObPHronroCdJBmcHOiPNaHQmwcDfHcKcRIxbOQCERbhg",1.39854e+06,368923,1581,251,28,0, 18
"[95]ugPOceBcCcwccBgcggcogccocHcMNchnrBBcIIwzcHjcceMLKnKnxclNyAcBcsjoQJrrsHmkcuvKQkipyjccKcdljmlcvMG",5.54757e+07,37567.9,322,337,56,3, 180
"[94]QIlcAKOGPHgckuMHnKIEsafHMPfFHscOjHiQounKMzwccKcCvbhzdDgmcllMccIcPhcpFHHHpDmknMbydBIHlFHDcpettl",3.19113e+06,2786.07,816,263,27,0, 181
"[76]IiowscAQccHPcutzHmIJHHchNcIOzomNxPGeKBPHMEQlAiyMApAllyhcIFpbCppvlHpixcpOhMEH",1.80265e+06,27354.5,1289,287,60,1, 182
"[102]LcucHfRcsRcdgawoyQdbyacrxwcInacofcmvpcHsEbccAcHuxzIocHijMFcdypkBKccAwdtnHlwPfcfxBarcgcscarDbQPwsFCeaOG",7.75838e+06,54975.4,537,312,62,1, 183
