"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"95",119,34169393250000,1034641500000,495.49,503,15.1440857542915,59.85,58.5,14.8040227948045,435.64,439,11.6796637560567,0.318527545546934,0.304489092154177,0.358660130718954,0.295218295218295,0.0277109545402825,0.362863000045864,0.352492173742907,0.412581699346405,0.324324324324324,0.0378936121880011,95
"96",71,2249726250000,1.11975e+12,572.94,582,21.3199863551039,137.45,141,6.88487582687699,435.49,436,23.002193571286,0.31179104525253,0.307894736842105,0.32843137254902,0.302148302148302,0.00864988107384997,0.410601771666517,0.403326403326403,0.436274509803922,0.392763157894737,0.0152887567077506,96
"97",197,2294126760000,1.11975e+12,445.87,459,44.4321421104728,19.39,15,8.67353457479718,426.48,440,40.5239622341093,0.311191487182475,0.307894736842105,0.327137546468401,0.300653594771242,0.00983387043779469,0.325306540631152,0.318087318087318,0.347955390334573,0.312908496732026,0.0134372216245358,97
"98",132,4769108260000,1.13109e+12,505.27,523,33.4119844826779,71,85,28.5939882075964,434.27,452,32.0787714190799,0.314443844799488,0.308006535947712,0.336059479553903,0.302631578947368,0.0140133089067251,0.367255834576993,0.377450980392157,0.405204460966543,0.316447368421053,0.0328243349223718,98
"99",63,7268313505000,1.18788e+12,454.09,467,38.045718112117,52.93,52,22.6627692727767,401.16,415,17.0221009041751,0.294245099655662,0.308550185873606,0.342320261437909,0.25,0.0367023402084359,0.334253073825868,0.347211895910781,0.410130718954248,0.263815789473684,0.0558734825182844,99
"100",190,3329951781000,1.24577e+12,430.79,451,28.18743003754,20.63,19,16.7082239473484,410.16,409,25.4414439587668,0.297205147107643,0.309078309078309,0.334150326797386,0.267763157894737,0.0265698215165168,0.312920657309513,0.312543312543313,0.373366013071895,0.280263157894737,0.0372798702167772,100
"101",105,3131183120000,1.26071e+12,461.35,474,49.3528575206598,32.14,27,8.71666232110674,429.21,449,43.9702137471459,0.312728197121613,0.309210526315789,0.333828996282528,0.301470588235294,0.0113306527910245,0.335941596403908,0.337491337491337,0.352416356877323,0.323529411764706,0.0102241347326641,101
"102",134,1166178572300,1.32605e+12,688.36,704,36.1359721724556,279.79,273,17.3340879789104,408.57,431,53.295110356193,0.291665407585534,0.30977130977131,0.320446096654275,0.250816993464052,0.025841040990703,0.493953308964653,0.493416493416493,0.523420074349442,0.4625,0.0219874745804315,102
"103",144,3071946760000,1.4194e+12,511.12,504,26.2871785776975,83.88,84,4.2623083801237,427.24,420,30.1280499524844,0.30964489572904,0.310526315789474,0.331699346405229,0.29368029739777,0.0144519480816313,0.370860511771897,0.361842105263158,0.400326797385621,0.358974358974359,0.0175836839355795,103
"104",80,1067952874800,1.59808e+12,622.67,588,122.082192465452,223.07,292,102.949164173588,399.6,456,71.7913643831903,0.286131223892221,0.311842105263158,0.316008316008316,0.236928104575163,0.0318576019752457,0.449379766792469,0.475490196078431,0.54954954954955,0.358364312267658,0.0793637212244428,104
"105",29,23673661320000,1.66055e+12,491.94,478,22.8379535250451,58.16,56,5.26225361715996,433.78,420,25.155508262796,0.318024941420251,0.312267657992565,0.356209150326797,0.284823284823285,0.0257040037589092,0.360684750655886,0.352416356877323,0.40359477124183,0.331254331254331,0.0269702756180122,105
"106",52,5728184300000,2.05304e+12,519.8,538,35.335620280477,70.74,74,14.5606498911458,449.06,454,22.0750876544012,0.320035895895754,0.314622314622315,0.337546468401487,0.307894736842105,0.0115404324399752,0.369949688679686,0.372834372834373,0.389591078066915,0.356578947368421,0.0117779901157633,106
"107",50,3.275822e+12,2.28073e+12,436.46,444,62.9724037683463,11.11,11,2.23785160320782,425.35,433,60.8320049668168,0.308019438068456,0.315789473684211,0.32986832986833,0.272058823529412,0.0230266378312738,0.316023515108744,0.325,0.338184338184338,0.27859477124183,0.0238727099759632,107
"108",37,2051448470000,2.36166e+12,528.79,531,20.3525964392306,95.9,94,25.3677995207557,432.89,437,41.629412436377,0.310514514221844,0.316176470588235,0.322368421052632,0.297397769516729,0.0102113941210792,0.380926957658897,0.367983367983368,0.405228758169935,0.363157894736842,0.0175816522530457,108
"109",151,2443944720880000,2.48214e+12,680.25,659,54.9156147873694,228.95,233,53.3099143658754,451.3,426,106.391833437639,0.323811633571172,0.316728624535316,0.410526315789474,0.25,0.0531394468344064,0.493877071179398,0.48996282527881,0.511842105263158,0.471933471933472,0.0147225437792176,109
"110",81,5867668321019840,2489760950000,651.43,662,130.440067510413,223.74,280,86.8724387021603,427.69,419,134.857028295926,0.305129949142462,0.299708630563649,0.419736842105263,0.22140522875817,0.0725795871640629,0.470437517587989,0.479358015135879,0.543312543312543,0.361338289962825,0.0668586578220431,110
"111",43,2962770757000,2.63559e+12,471.33,467,41.7626905650525,42.61,46,7.14905517526546,428.72,428,41.7549561565614,0.312266934114564,0.317394317394317,0.32516339869281,0.278066914498141,0.0170057023488798,0.343582475510983,0.350657894736842,0.362745098039216,0.31003717472119,0.0186178807549836,111
"112",48,28647629519168000,2.931161e+12,669.46,647,101.074871738577,215.01,248,69.3004722534086,454.45,399,116.556430604028,0.327317419866147,0.305748338836574,0.436842105263158,0.269144981412639,0.0637700935792218,0.485422500159936,0.51161619615567,0.52859477124183,0.385130111524164,0.0579797229893381,112
"113",187,81523193400000,3.03469e+12,725.18,714,25.4750343225946,258.92,258,19.201052159723,466.26,447,36.4313717623266,0.339784057575965,0.318959107806691,0.365196078431373,0.318421052631579,0.0224854688061305,0.529209559489017,0.530855018587361,0.565359477124183,0.488157894736842,0.0260123065549407,113
"114",92,8509633754400,3.17861e+12,669.95,687,38.2739658860493,243.79,251,56.5048125241013,426.16,461,83.499315910825,0.302166596469909,0.319473319473319,0.342763157894737,0.253267973856209,0.0366124495326623,0.481000502445841,0.493416493416493,0.513888888888889,0.451973684210526,0.0250413265729395,114
"115",72,25324839200000,3.95388e+12,505.96,477,34.9868431259408,56.22,53.5,21.4045119382137,449.74,424,51.4967136344788,0.329716352144566,0.321895424836601,0.356895356895357,0.315241635687732,0.0159450447057384,0.372305225378522,0.374913374913375,0.389705882352941,0.353903345724907,0.0141280806019628,115
"116",131,2956766180000,4.24222e+12,784.61,773,15.908764498816,350.82,339,21.5834672980515,433.79,434,33.3537195236244,0.315785966610945,0.322676579925651,0.323631323631324,0.301973684210526,0.00889402863634342,0.573565343672576,0.574721189591078,0.627450980392157,0.526973684210526,0.0340118637084142,116
"117",149,9545294120000,4.64542e+12,645.54,600,106.731364848503,211.18,224,96.9112246055402,434.36,492,75.2094073204606,0.30809814671466,0.323684210526316,0.343035343035343,0.25,0.0341546190062488,0.462516490455646,0.450110248560391,0.553707553707554,0.384868421052632,0.074352392796484,117
"118",118,9434346879000,4.92125e+12,467.19,491,73.7330285214808,31.14,33,9.35605459452635,436.05,468,78.3173258950632,0.310687305322114,0.324324324324324,0.342763157894737,0.254901960784314,0.0329334083422023,0.33349777200773,0.34026334026334,0.364473684210526,0.292483660130719,0.0266679703723098,118
"119",45,10679853400000,4.93105e+12,523.56,514,21.955105708392,69.12,60,22.480644873744,454.44,454,42.1721627751211,0.330637228392779,0.324346405228758,0.339473684210526,0.323631323631324,0.00725955791235858,0.382566388211384,0.382156133828996,0.409313725490196,0.364518364518365,0.0179678505309431,119
"120",122,202892511197600,4931344450000,651.28,656,57.1597230521102,220.76,229,57.7208748542448,430.52,427,114.251227697137,0.306346763938855,0.305378870434633,0.379605263157895,0.231209150326797,0.0577065356517719,0.470344817250056,0.47051397980766,0.473026315789474,0.467320261437909,0.00255118561425743,120
"121",193,22085360660000,5.23836e+12,466.39,456,22.7267008008846,18.3,12,9.92853249860006,448.09,432,18.6439770110317,0.327199646935899,0.325017325017325,0.352941176470588,0.305921052631579,0.0186178185986597,0.340372394745394,0.345807345807346,0.359477124183007,0.313815789473684,0.0175137872610606,121
"122",31,9575369920000,5.5759e+12,504.32,539,51.0952527000782,55.42,62,14.58876002928,448.9,470,60.7244979103545,0.319075696856435,0.325710325710326,0.342105263157895,0.29368029739777,0.0197421548078715,0.359401534030283,0.365131578947368,0.373527373527374,0.342007434944238,0.0116341959405323,122
"123",33,20376576516039380992,6.14973e+12,813.46,827,156.433186434918,316.84,427,128.136820814647,496.62,400,145.228679305877,0.359646474288886,0.326797385620915,0.511842105263158,0.294423791821561,0.0775804866939697,0.596729862537183,0.674289674289674,0.675653594771242,0.436431226765799,0.104531818875568,123
"124",56,12950162500000,6.31764e+12,495.76,476,26.8080042321149,47.38,45,23.0483812617693,448.38,421,46.4381374094677,0.324642175253141,0.327096327096327,0.343954248366013,0.292936802973978,0.0203738326940764,0.359786858317844,0.353903345724907,0.380718954248366,0.351973684210526,0.0118424984366518,124
"125",189,13022364960000,6.72473e+12,467.4,474,32.493045098882,30.19,32,7.22886330251615,437.21,443.5,33.6485985119467,0.31795103581525,0.327789327789328,0.347222222222222,0.284758364312268,0.0236782044405854,0.339991906729563,0.34026334026334,0.373366013071895,0.307806691449814,0.0240684948207823,125
"126",154,7971519460000,7.12525e+12,489.05,441,49.2727668753801,43.27,43,15.6481870379849,445.78,402,49.491062349936,0.321553381128663,0.32843137254902,0.339473684210526,0.295910780669145,0.0170394431841986,0.353055399775228,0.353947368421053,0.374220374220374,0.327881040892193,0.0177515512259293,126
"127",124,20643024050000,1.04115e+13,494.9,516,34.9575500147007,44.64,45,24.9595713508907,450.26,480,35.6253286357339,0.326203941734456,0.332640332640333,0.353758169934641,0.297397769516729,0.0203282056148434,0.359991539265268,0.363825363825364,0.42156862745098,0.324907063197026,0.0383021798680714,127
"128",59,78310124200000,1.19939e+13,547.85,553,19.6491318851084,84.65,89,17.3708073932949,463.2,451,27.6642934360003,0.337675841485013,0.334210526315789,0.368464052287582,0.319473319473319,0.0200392408131709,0.400393045372976,0.384797007473587,0.451797385620915,0.372368421052632,0.0326290329384106,128
"129",195,3.7566867e+13,1.252675e+13,866.16,859,262.523408095316,617.74,338,609.301597542364,248.42,471,361.922397508336,0.231842727943467,0.327972754842497,0.361053361053361,0,0.160534392627537,0.647795923554514,0.595287595287595,0.996732026143791,0.424342105263158,0.249517613764044,129
