"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order"
8,1,8.7037e+10,8.7037e+10,NA,252,252,NA,6,6,NA,246,246,NA,12
8,2,78565800000,78565800000,NA,265,265,NA,20,20,NA,245,245,NA,12
8,3,1541870,1541870,NA,258,258,NA,5,5,NA,253,253,NA,12
9,0,3.66081e+21,3.66081e+21,NA,520,520,NA,88,88,NA,432,432,NA,99
9,1,1.18972e+15,1.18972e+15,NA,496,496,NA,157,157,NA,339,339,NA,99
9,2,2.19921e+15,2.19921e+15,NA,487,487,NA,142,142,NA,345,345,NA,99
9,3,4.47459e+14,4.47459e+14,NA,599,599,NA,0,0,NA,599,599,NA,99
10,0,1.70228e+11,1.70228e+11,NA,249,249,NA,24,24,NA,225,225,NA,5
10,1,1307430000,1307430000,NA,211,211,NA,6,6,NA,205,205,NA,5
10,2,12438500000,12438500000,NA,280,280,NA,53,53,NA,227,227,NA,5
10,3,124688000,124688000,NA,336,336,NA,5,5,NA,331,331,NA,5
11,0,5.84268e+19,5.84268e+19,NA,399,399,NA,3,3,NA,396,396,NA,167
11,1,8.79762e+18,8.79762e+18,NA,429,429,NA,3,3,NA,426,426,NA,167
11,2,1.54716e+20,1.54716e+20,NA,457,457,NA,3,3,NA,454,454,NA,167
11,3,6.63689e+14,6.63689e+14,NA,609,609,NA,3,3,NA,606,606,NA,167
12,0,1.86564e+17,1.86564e+17,NA,370,370,NA,24,24,NA,346,346,NA,97
12,1,7.89885e+14,7.89885e+14,NA,431,431,NA,96,96,NA,335,335,NA,97
12,2,2.43634e+15,2.43634e+15,NA,484,484,NA,138,138,NA,346,346,NA,97
12,3,9.71769e+12,9.71769e+12,NA,557,557,NA,26,26,NA,531,531,NA,97
13,0,5.75264e+23,5.75264e+23,NA,535,535,NA,59,59,NA,476,476,NA,129
13,1,3.15135e+16,3.15135e+16,NA,510,510,NA,139,139,NA,371,371,NA,129
13,2,2.84463e+16,2.84463e+16,NA,483,483,NA,113,113,NA,370,370,NA,129
13,3,8.79545e+14,8.79545e+14,NA,611,611,NA,0,0,NA,611,611,NA,129
14,0,5.33107e+13,5.33107e+13,NA,291,291,NA,16,16,NA,275,275,NA,26
14,1,1.18335e+11,1.18335e+11,NA,275,275,NA,26,26,NA,249,249,NA,26
14,2,6.747e+11,6.747e+11,NA,282,282,NA,16,16,NA,266,266,NA,26
14,3,94087500,94087500,NA,330,330,NA,4,4,NA,326,326,NA,26
15,0,8.37731e+15,8.37731e+15,NA,331,331,NA,12,12,NA,319,319,NA,114
15,1,1.2539e+16,1.2539e+16,NA,381,381,NA,19,19,NA,362,362,NA,114
15,2,2.19921e+15,2.19921e+15,NA,374,374,NA,29,29,NA,345,345,NA,114
15,3,3.5262e+12,3.5262e+12,NA,533,533,NA,20,20,NA,513,513,NA,114
16,0,5.16802e+21,5.16802e+21,NA,471,471,NA,36,36,NA,435,435,NA,185
16,1,1.47191e+21,1.47191e+21,NA,502,502,NA,26,26,NA,476,476,NA,185
16,2,9.29711e+21,9.29711e+21,NA,542,542,NA,48,48,NA,494,494,NA,185
16,3,2.36639e+20,2.36639e+20,NA,907,907,NA,74,74,NA,833,833,NA,185
17,0,1.69568e+12,1.69568e+12,NA,256,256,NA,11,11,NA,245,245,NA,20
17,1,1.06818e+11,1.06818e+11,NA,250,250,NA,2,2,NA,248,248,NA,20
17,2,64016600000,64016600000,NA,260,260,NA,17,17,NA,243,243,NA,20
17,3,1.99486e+11,1.99486e+11,NA,464,464,NA,2,2,NA,462,462,NA,20
18,0,9.43423e+14,9.43423e+14,NA,341,341,NA,41,41,NA,300,300,NA,90
18,1,1.318e+15,1.318e+15,NA,351,351,NA,11,11,NA,340,340,NA,90
18,2,5.80969e+14,5.80969e+14,NA,366,366,NA,34,34,NA,332,332,NA,90
18,3,6667660,6667660,NA,280,280,NA,1,1,NA,279,279,NA,90
19,0,1.48827e+16,1.48827e+16,NA,332,332,NA,8,8,NA,324,324,NA,81
19,1,5.80969e+14,5.80969e+14,NA,340,340,NA,8,8,NA,332,332,NA,81
19,2,1.70023e+14,1.70023e+14,NA,328,328,NA,8,8,NA,320,320,NA,81
19,3,206992000,206992000,NA,346,346,NA,6,6,NA,340,340,NA,81
20,0,1.6311e+22,1.6311e+22,NA,521,521,NA,76,76,NA,445,445,NA,117
20,1,1.3891e+16,1.3891e+16,NA,493,493,NA,130,130,NA,363,363,NA,117
20,2,3.65977e+13,3.65977e+13,NA,465,465,NA,160,160,NA,305,305,NA,117
20,3,2.03391e+14,2.03391e+14,NA,585,585,NA,0,0,NA,585,585,NA,117
21,0,5.9804e+13,5.9804e+13,NA,284,284,NA,8,8,NA,276,276,NA,44
21,1,1.61321e+13,1.61321e+13,NA,304,304,NA,7,7,NA,297,297,NA,44
21,2,6.41886e+12,6.41886e+12,NA,304,304,NA,16,16,NA,288,288,NA,44
21,3,5031300,5031300,NA,274,274,NA,0,0,NA,274,274,NA,44
22,0,2.33869e+18,2.33869e+18,NA,386,386,NA,18,18,NA,368,368,NA,156
22,1,9.24735e+17,9.24735e+17,NA,416,416,NA,12,12,NA,404,404,NA,156
22,2,1.13795e+20,1.13795e+20,NA,485,485,NA,34,34,NA,451,451,NA,156
22,3,1.3981e+17,1.3981e+17,NA,713,713,NA,12,12,NA,701,701,NA,156
23,0,8.31251e+17,8.31251e+17,NA,470,470,NA,111,111,NA,359,359,NA,80
23,1,1.97985e+13,1.97985e+13,NA,449,449,NA,150,150,NA,299,299,NA,80
23,2,7.13007e+14,7.13007e+14,NA,457,457,NA,123,123,NA,334,334,NA,80
23,3,2.39278e+13,2.39278e+13,NA,560,560,NA,13,13,NA,547,547,NA,80
24,0,5.93414e+15,5.93414e+15,NA,336,336,NA,20,20,NA,316,316,NA,133
24,1,4.5157e+17,4.5157e+17,NA,409,409,NA,12,12,NA,397,397,NA,133
24,2,1.19292e+17,1.19292e+17,NA,410,410,NA,26,26,NA,384,384,NA,133
24,3,4.73383e+14,4.73383e+14,NA,615,615,NA,15,15,NA,600,600,NA,133
25,0,4.67901e+17,4.67901e+17,NA,411,411,NA,57,57,NA,354,354,NA,142
25,1,2.20512e+17,2.20512e+17,NA,404,404,NA,14,14,NA,390,390,NA,142
25,2,7.55513e+19,7.55513e+19,NA,479,479,NA,32,32,NA,447,447,NA,142
25,3,3.03633e+15,3.03633e+15,NA,647,647,NA,14,14,NA,633,633,NA,142
26,0,3.01247e+12,3.01247e+12,NA,265,265,NA,15,15,NA,250,250,NA,11
26,1,34631400000,34631400000,NA,251,251,NA,14,14,NA,237,237,NA,11
26,2,5.7786e+10,5.7786e+10,NA,258,258,NA,16,16,NA,242,242,NA,11
26,3,5031300,5031300,NA,292,292,NA,18,18,NA,274,274,NA,11
27,0,1.47104e+19,1.47104e+19,NA,426,426,NA,42,42,NA,384,384,NA,43
27,1,2.82941e+12,2.82941e+12,NA,378,378,NA,98,98,NA,280,280,NA,43
27,2,1.4562e+13,1.4562e+13,NA,390,390,NA,94,94,NA,296,296,NA,43
27,3,1.99486e+11,1.99486e+11,NA,465,465,NA,3,3,NA,462,462,NA,43
28,0,1.48827e+16,1.48827e+16,NA,350,350,NA,26,26,NA,324,324,NA,47
28,1,1.07105e+13,1.07105e+13,NA,335,335,NA,42,42,NA,293,293,NA,47
28,2,1.4562e+13,1.4562e+13,NA,336,336,NA,40,40,NA,296,296,NA,47
28,3,84064900,84064900,NA,350,350,NA,26,26,NA,324,324,NA,47
29,0,1.85121e+19,1.85121e+19,NA,387,387,NA,1,1,NA,386,386,NA,159
29,1,1.25727e+18,1.25727e+18,NA,410,410,NA,3,3,NA,407,407,NA,159
29,2,3.87795e+18,3.87795e+18,NA,420,420,NA,2,2,NA,418,418,NA,159
29,3,1.45071e+14,1.45071e+14,NA,585,585,NA,6,6,NA,579,579,NA,159
30,0,5.33107e+13,5.33107e+13,NA,284,284,NA,9,9,NA,275,275,NA,38
30,1,1.07105e+13,1.07105e+13,NA,293,293,NA,0,0,NA,293,293,NA,38
30,2,70919100000,70919100000,NA,270,270,NA,26,26,NA,244,244,NA,38
30,3,14668800,14668800,NA,293,293,NA,0,0,NA,293,293,NA,38
31,0,1.89484e+13,1.89484e+13,NA,289,289,NA,23,23,NA,266,266,NA,50
31,1,1.38538e+14,1.38538e+14,NA,337,337,NA,19,19,NA,318,318,NA,50
31,2,1.4562e+13,1.4562e+13,NA,329,329,NA,33,33,NA,296,296,NA,50
31,3,4.67304e+12,4.67304e+12,NA,576,576,NA,58,58,NA,518,518,NA,50
32,0,8.4099e+14,8.4099e+14,NA,347,347,NA,48,48,NA,299,299,NA,58
32,1,1.78715e+13,1.78715e+13,NA,318,318,NA,20,20,NA,298,298,NA,58
32,2,3.30357e+13,3.30357e+13,NA,379,379,NA,75,75,NA,304,304,NA,58
32,3,1.69568e+12,1.69568e+12,NA,500,500,NA,0,0,NA,500,500,NA,58
33,0,9.32498e+17,9.32498e+17,NA,382,382,NA,22,22,NA,360,360,NA,92
33,1,7.13007e+14,7.13007e+14,NA,421,421,NA,87,87,NA,334,334,NA,92
33,2,1.46011e+15,1.46011e+15,NA,378,378,NA,37,37,NA,341,341,NA,92
33,3,259292000,259292000,NA,344,344,NA,0,0,NA,344,344,NA,92
34,0,4.75224e+13,4.75224e+13,NA,336,336,NA,62,62,NA,274,274,NA,9
34,1,38365500000,38365500000,NA,284,284,NA,46,46,NA,238,238,NA,9
34,2,9148630000,9148630000,NA,317,317,NA,93,93,NA,224,224,NA,9
34,3,5129780000,5129780000,NA,397,397,NA,0,0,NA,397,397,NA,9
35,0,3.31441e+17,3.31441e+17,NA,359,359,NA,8,8,NA,351,351,NA,17
35,1,1.97454e+11,1.97454e+11,NA,335,335,NA,81,81,NA,254,254,NA,17
35,2,18734800000,18734800000,NA,299,299,NA,68,68,NA,231,231,NA,17
35,3,946974000,946974000,NA,367,367,NA,0,0,NA,367,367,NA,17
36,0,1.47104e+19,1.47104e+19,NA,427,427,NA,43,43,NA,384,384,NA,140
36,1,6.13954e+17,6.13954e+17,NA,466,466,NA,66,66,NA,400,400,NA,140
36,2,3.15135e+16,3.15135e+16,NA,431,431,NA,60,60,NA,371,371,NA,140
36,3,1.27953e+12,1.27953e+12,NA,526,526,NA,31,31,NA,495,495,NA,140
37,0,9.36125e+16,9.36125e+16,NA,389,389,NA,49,49,NA,340,340,NA,24
37,1,6.747e+11,6.747e+11,NA,362,362,NA,96,96,NA,266,266,NA,24
37,2,5.7786e+10,5.7786e+10,NA,346,346,NA,104,104,NA,242,242,NA,24
37,3,2.9398e+10,2.9398e+10,NA,428,428,NA,0,0,NA,428,428,NA,24
38,0,8.37731e+15,8.37731e+15,NA,369,369,NA,50,50,NA,319,319,NA,18
38,1,2677390000,2677390000,NA,318,318,NA,106,106,NA,212,212,NA,18
38,2,2.4233e+11,2.4233e+11,NA,340,340,NA,84,84,NA,256,256,NA,18
38,3,1759480000,1759480000,NA,398,398,NA,20,20,NA,378,378,NA,18
39,0,1.66955e+16,1.66955e+16,NA,444,444,NA,119,119,NA,325,325,NA,69
39,1,4.97582e+13,4.97582e+13,NA,438,438,NA,130,130,NA,308,308,NA,69
39,2,1.53475e+14,1.53475e+14,NA,441,441,NA,122,122,NA,319,319,NA,69
39,3,1.28782e+13,1.28782e+13,NA,548,548,NA,12,12,NA,536,536,NA,69
40,0,5.24891e+17,5.24891e+17,NA,439,439,NA,84,84,NA,355,355,NA,42
40,1,1.07105e+13,1.07105e+13,NA,412,412,NA,119,119,NA,293,293,NA,42
40,2,5.23019e+12,5.23019e+12,NA,408,408,NA,122,122,NA,286,286,NA,42
40,3,3.3331e+12,3.3331e+12,NA,514,514,NA,2,2,NA,512,512,NA,42
41,0,4.12268e+20,4.12268e+20,NA,413,413,NA,0,0,NA,413,413,NA,172
41,1,8.36975e+19,8.36975e+19,NA,466,466,NA,18,18,NA,448,448,NA,172
41,2,1.13795e+20,1.13795e+20,NA,479,479,NA,28,28,NA,451,451,NA,172
41,3,1.62367e+14,1.62367e+14,NA,581,581,NA,0,0,NA,581,581,NA,172
42,0,2.14221e+11,2.14221e+11,NA,227,227,NA,0,0,NA,227,227,NA,6
42,1,12438500000,12438500000,NA,227,227,NA,0,0,NA,227,227,NA,6
42,2,5482830000,5482830000,NA,223,223,NA,4,4,NA,219,219,NA,6
42,3,356551,356551,NA,227,227,NA,0,0,NA,227,227,NA,6
43,0,6.60542e+17,6.60542e+17,NA,460,460,NA,103,103,NA,357,357,NA,143
43,1,8.34732e+17,8.34732e+17,NA,469,469,NA,66,66,NA,403,403,NA,143
43,2,7.14922e+16,7.14922e+16,NA,476,476,NA,97,97,NA,379,379,NA,143
43,3,9.90789e+15,9.90789e+15,NA,662,662,NA,8,8,NA,654,654,NA,143
44,0,1.30118e+21,1.30118e+21,NA,444,444,NA,21,21,NA,423,423,NA,170
44,1,4.08715e+19,4.08715e+19,NA,445,445,NA,4,4,NA,441,441,NA,170
44,2,7.55513e+19,7.55513e+19,NA,479,479,NA,32,32,NA,447,447,NA,170
44,3,4.76451e+15,4.76451e+15,NA,641,641,NA,0,0,NA,641,641,NA,170
45,0,1.85121e+19,1.85121e+19,NA,398,398,NA,12,12,NA,386,386,NA,168
45,1,5.01604e+19,5.01604e+19,NA,459,459,NA,16,16,NA,443,443,NA,168
45,2,2.11483e+24,2.11483e+24,NA,567,567,NA,20,20,NA,547,547,NA,168
45,3,1.91015e+13,1.91015e+13,NA,547,547,NA,4,4,NA,543,543,NA,168
46,0,1.33703e+14,1.33703e+14,NA,327,327,NA,44,44,NA,283,283,NA,67
46,1,1.61321e+13,1.61321e+13,NA,318,318,NA,21,21,NA,297,297,NA,67
46,2,1.70023e+14,1.70023e+14,NA,392,392,NA,72,72,NA,320,320,NA,67
46,3,5.81606e+11,5.81606e+11,NA,488,488,NA,7,7,NA,481,481,NA,67
47,0,8.37731e+15,8.37731e+15,NA,354,354,NA,35,35,NA,319,319,NA,113
47,1,7.92008e+16,7.92008e+16,NA,412,412,NA,32,32,NA,380,380,NA,113
47,2,1.79195e+15,1.79195e+15,NA,411,411,NA,68,68,NA,343,343,NA,113
47,3,1.27953e+12,1.27953e+12,NA,521,521,NA,26,26,NA,495,495,NA,113
48,0,1.32668e+16,1.32668e+16,NA,373,373,NA,50,50,NA,323,323,NA,76
48,1,1.88356e+14,1.88356e+14,NA,369,369,NA,48,48,NA,321,321,NA,76
48,2,3.48178e+14,3.48178e+14,NA,451,451,NA,124,124,NA,327,327,NA,76
48,3,2.8332e+13,2.8332e+13,NA,552,552,NA,2,2,NA,550,550,NA,76
49,0,2.09288e+17,2.09288e+17,NA,377,377,NA,30,30,NA,347,347,NA,121
49,1,2.83701e+14,2.83701e+14,NA,344,344,NA,19,19,NA,325,325,NA,121
49,2,2.84463e+16,2.84463e+16,NA,382,382,NA,12,12,NA,370,370,NA,121
49,3,9.71769e+12,9.71769e+12,NA,539,539,NA,8,8,NA,531,531,NA,121
50,0,1.66955e+16,1.66955e+16,NA,357,357,NA,32,32,NA,325,325,NA,46
50,1,2.19332e+13,2.19332e+13,NA,409,409,NA,109,109,NA,300,300,NA,46
50,2,1.1258e+12,1.1258e+12,NA,390,390,NA,119,119,NA,271,271,NA,46
50,3,6.8866e+11,6.8866e+11,NA,488,488,NA,4,4,NA,484,484,NA,46
51,0,1.34745e+12,1.34745e+12,NA,315,315,NA,72,72,NA,243,243,NA,28
51,1,7.47448e+11,7.47448e+11,NA,305,305,NA,38,38,NA,267,267,NA,28
51,2,4.96249e+11,4.96249e+11,NA,311,311,NA,48,48,NA,263,263,NA,28
51,3,2559620,2559620,NA,280,280,NA,18,18,NA,262,262,NA,28
52,0,5.95722e+14,5.95722e+14,NA,308,308,NA,12,12,NA,296,296,NA,78
52,1,8.2804e+11,8.2804e+11,NA,275,275,NA,7,7,NA,268,268,NA,78
52,2,8.75053e+14,8.75053e+14,NA,342,342,NA,6,6,NA,336,336,NA,78
52,3,4.97582e+13,4.97582e+13,NA,564,564,NA,4,4,NA,560,560,NA,78
53,0,9.28884e+18,9.28884e+18,NA,452,452,NA,72,72,NA,380,380,NA,56
53,1,2.55402e+12,2.55402e+12,NA,410,410,NA,131,131,NA,279,279,NA,56
53,2,3.30357e+13,3.30357e+13,NA,418,418,NA,114,114,NA,304,304,NA,56
53,3,5.5332e+12,5.5332e+12,NA,521,521,NA,0,0,NA,521,521,NA,56
54,0,2.31161e+21,2.31161e+21,NA,428,428,NA,0,0,NA,428,428,NA,186
54,1,6.17258e+21,6.17258e+21,NA,490,490,NA,0,0,NA,490,490,NA,186
54,2,1.26404e+22,1.26404e+22,NA,497,497,NA,0,0,NA,497,497,NA,186
54,3,3.61852e+16,3.61852e+16,NA,677,677,NA,0,0,NA,677,677,NA,186
55,0,5.20831e+19,5.20831e+19,NA,399,399,NA,4,4,NA,395,395,NA,178
55,1,2.10917e+22,2.10917e+22,NA,510,510,NA,8,8,NA,502,502,NA,178
55,2,3.1683e+20,3.1683e+20,NA,488,488,NA,27,27,NA,461,461,NA,178
55,3,2.2224e+19,2.2224e+19,NA,819,819,NA,28,28,NA,791,791,NA,178
56,0,2.98916e+14,2.98916e+14,NA,296,296,NA,6,6,NA,290,290,NA,73
56,1,7.11096e+12,7.11096e+12,NA,291,291,NA,2,2,NA,289,289,NA,73
56,2,7.13007e+14,7.13007e+14,NA,340,340,NA,6,6,NA,334,334,NA,73
56,3,2161720,2161720,NA,261,261,NA,2,2,NA,259,259,NA,73
57,0,3.00079e+13,3.00079e+13,NA,313,313,NA,43,43,NA,270,270,NA,60
57,1,5.51233e+13,5.51233e+13,NA,331,331,NA,22,22,NA,309,309,NA,60
57,2,4.97582e+13,4.97582e+13,NA,349,349,NA,41,41,NA,308,308,NA,60
57,3,2.9398e+10,2.9398e+10,NA,451,451,NA,23,23,NA,428,428,NA,60
58,0,2.92033e+20,2.92033e+20,NA,445,445,NA,35,35,NA,410,410,NA,147
58,1,7.53489e+17,7.53489e+17,NA,606,606,NA,204,204,NA,402,402,NA,147
58,2,2.20512e+17,2.20512e+17,NA,509,509,NA,119,119,NA,390,390,NA,147
58,3,4.25697e+15,4.25697e+15,NA,699,699,NA,60,60,NA,639,639,NA,147
59,0,2.35692e+16,2.35692e+16,NA,342,342,NA,14,14,NA,328,328,NA,62
59,1,6.10668e+13,6.10668e+13,NA,317,317,NA,7,7,NA,310,310,NA,62
59,2,3.30357e+13,3.30357e+13,NA,329,329,NA,25,25,NA,304,304,NA,62
59,3,8.15419e+11,8.15419e+11,NA,505,505,NA,18,18,NA,487,487,NA,62
60,0,1.65021e+19,1.65021e+19,NA,400,400,NA,15,15,NA,385,385,NA,174
60,1,2.33032e+20,2.33032e+20,NA,488,488,NA,30,30,NA,458,458,NA,174
60,2,2.58158e+20,2.58158e+20,NA,482,482,NA,23,23,NA,459,459,NA,174
60,3,2004.12,2004.12,NA,135,135,NA,0,0,NA,135,135,NA,174
61,0,2.65429e+15,2.65429e+15,NA,311,311,NA,2,2,NA,309,309,NA,98
61,1,9.22257e+15,9.22257e+15,NA,361,361,NA,2,2,NA,359,359,NA,98
61,2,6.43611e+14,6.43611e+14,NA,350,350,NA,17,17,NA,333,333,NA,98
61,3,26266400000,26266400000,NA,427,427,NA,1,1,NA,426,426,NA,98
62,0,4.12268e+20,4.12268e+20,NA,470,470,NA,57,57,NA,413,413,NA,146
62,1,3.32135e+17,3.32135e+17,NA,457,457,NA,63,63,NA,394,394,NA,146
62,2,6.13954e+17,6.13954e+17,NA,491,491,NA,91,91,NA,400,400,NA,146
62,3,1.3891e+16,1.3891e+16,NA,664,664,NA,4,4,NA,660,660,NA,146
63,0,1.18724e+15,1.18724e+15,NA,348,348,NA,46,46,NA,302,302,NA,68
63,1,1.01896e+14,1.01896e+14,NA,353,353,NA,38,38,NA,315,315,NA,68
63,2,9.19786e+13,9.19786e+13,NA,365,365,NA,51,51,NA,314,314,NA,68
63,3,1.08763e+13,1.08763e+13,NA,549,549,NA,16,16,NA,533,533,NA,68
64,0,1.1554e+22,1.1554e+22,NA,492,492,NA,50,50,NA,442,442,NA,179
64,1,1.32509e+19,1.32509e+19,NA,446,446,NA,16,16,NA,430,430,NA,179
64,2,1.08261e+21,1.08261e+21,NA,499,499,NA,26,26,NA,473,473,NA,179
64,3,2.56432e+15,2.56432e+15,NA,630,630,NA,0,0,NA,630,630,NA,179
65,0,3.74709e+15,3.74709e+15,NA,335,335,NA,23,23,NA,312,312,NA,89
65,1,1.318e+15,1.318e+15,NA,352,352,NA,12,12,NA,340,340,NA,89
65,2,1.61321e+13,1.61321e+13,NA,311,311,NA,14,14,NA,297,297,NA,89
65,3,95929100000,95929100000,NA,449,449,NA,0,0,NA,449,449,NA,89
66,0,4.1872e+16,4.1872e+16,NA,364,364,NA,31,31,NA,333,333,NA,126
66,1,1.19292e+17,1.19292e+17,NA,432,432,NA,48,48,NA,384,384,NA,126
66,2,3.6696e+15,3.6696e+15,NA,403,403,NA,53,53,NA,350,350,NA,126
66,3,2.67805e+13,2.67805e+13,NA,554,554,NA,5,5,NA,549,549,NA,126
67,0,1.20582e+11,1.20582e+11,NA,238,238,NA,16,16,NA,222,222,NA,4
67,1,3285890000,3285890000,NA,241,241,NA,27,27,NA,214,214,NA,4
67,2,4467490000,4467490000,NA,239,239,NA,22,22,NA,217,217,NA,4
67,3,2864790,2864790,NA,264,264,NA,0,0,NA,264,264,NA,4
68,0,8.21624e+20,8.21624e+20,NA,429,429,NA,10,10,NA,419,419,NA,106
68,1,1.18972e+15,1.18972e+15,NA,354,354,NA,15,15,NA,339,339,NA,106
68,2,6.12309e+15,6.12309e+15,NA,390,390,NA,35,35,NA,355,355,NA,106
68,3,307018000,307018000,NA,514,514,NA,167,167,NA,347,347,NA,106
69,0,2.61338e+19,2.61338e+19,NA,490,490,NA,101,101,NA,389,389,NA,176
69,1,8.82125e+20,8.82125e+20,NA,566,566,NA,95,95,NA,471,471,NA,176
69,2,2.58158e+20,2.58158e+20,NA,614,614,NA,155,155,NA,459,459,NA,176
69,3,9.12637e+11,9.12637e+11,NA,501,501,NA,12,12,NA,489,489,NA,176
70,0,1.51745e+11,1.51745e+11,NA,266,266,NA,42,42,NA,224,224,NA,22
70,1,4.04351e+11,4.04351e+11,NA,301,301,NA,40,40,NA,261,261,NA,22
70,2,1.4523e+11,1.4523e+11,NA,281,281,NA,30,30,NA,251,251,NA,22
70,3,1.51505e+12,1.51505e+12,NA,540,540,NA,42,42,NA,498,498,NA,22
71,0,2.06062e+21,2.06062e+21,NA,450,450,NA,23,23,NA,427,427,NA,183
71,1,3.88837e+20,3.88837e+20,NA,499,499,NA,36,36,NA,463,463,NA,183
71,2,3.33922e+21,3.33922e+21,NA,524,524,NA,40,40,NA,484,484,NA,183
71,3,68422400000,68422400000,NA,494,494,NA,51,51,NA,443,443,NA,183
72,0,1.33703e+14,1.33703e+14,NA,307,307,NA,24,24,NA,283,283,NA,72
72,1,1.70023e+14,1.70023e+14,NA,350,350,NA,30,30,NA,320,320,NA,72
72,2,5.25833e+16,5.25833e+16,NA,426,426,NA,50,50,NA,376,376,NA,72
72,3,2.02081e+13,2.02081e+13,NA,556,556,NA,12,12,NA,544,544,NA,72
73,0,3.34025e+15,3.34025e+15,NA,328,328,NA,17,17,NA,311,311,NA,122
73,1,5.25833e+16,5.25833e+16,NA,433,433,NA,57,57,NA,376,376,NA,122
73,2,3.86756e+16,3.86756e+16,NA,429,429,NA,56,56,NA,373,373,NA,122
73,3,3.99794e+14,3.99794e+14,NA,609,609,NA,12,12,NA,597,597,NA,122
74,0,9.36125e+16,9.36125e+16,NA,349,349,NA,9,9,NA,340,340,NA,108
74,1,3.31245e+15,3.31245e+15,NA,357,357,NA,8,8,NA,349,349,NA,108
74,2,4.5036e+15,4.5036e+15,NA,377,377,NA,25,25,NA,352,352,NA,108
74,3,31101200000,31101200000,NA,435,435,NA,6,6,NA,429,429,NA,108
75,0,9.50777e+12,9.50777e+12,NA,260,260,NA,0,0,NA,260,260,NA,39
75,1,4.06527e+15,4.06527e+15,NA,351,351,NA,0,0,NA,351,351,NA,39
75,2,1.53064e+12,1.53064e+12,NA,274,274,NA,0,0,NA,274,274,NA,39
75,3,539202000,539202000,NA,357,357,NA,0,0,NA,357,357,NA,39
76,0,3.32731e+16,3.32731e+16,NA,344,344,NA,13,13,NA,331,331,NA,86
76,1,3.1429e+14,3.1429e+14,NA,340,340,NA,14,14,NA,326,326,NA,86
76,2,6.43611e+14,6.43611e+14,NA,336,336,NA,3,3,NA,333,333,NA,86
76,3,10667500000,10667500000,NA,444,444,NA,34,34,NA,410,410,NA,86
77,0,7.32416e+20,7.32416e+20,NA,515,515,NA,97,97,NA,418,418,NA,101
77,1,2.99005e+15,2.99005e+15,NA,478,478,NA,130,130,NA,348,348,NA,101
