"seed","map_idx","merit_mean","merit_median","merit_sd","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","seed_order","category"
30,2,70919100000,70919100000,NA,270,270,NA,26,26,NA,244,244,NA,38,"Set pattern"
30,3,14668800,14668800,NA,293,293,NA,0,0,NA,293,293,NA,38,"Set pattern"
31,0,1.89484e+13,1.89484e+13,NA,289,289,NA,23,23,NA,266,266,NA,50,"Pattern cycling"
31,1,1.38538e+14,1.38538e+14,NA,337,337,NA,19,19,NA,318,318,NA,50,"Pattern cycling"
31,2,1.4562e+13,1.4562e+13,NA,329,329,NA,33,33,NA,296,296,NA,50,"Pattern cycling"
31,3,4.67304e+12,4.67304e+12,NA,576,576,NA,58,58,NA,518,518,NA,50,"Pattern cycling"
32,0,8.4099e+14,8.4099e+14,NA,347,347,NA,48,48,NA,299,299,NA,58,"Pattern cycling"
32,1,1.78715e+13,1.78715e+13,NA,318,318,NA,20,20,NA,298,298,NA,58,"Pattern cycling"
32,2,3.30357e+13,3.30357e+13,NA,379,379,NA,75,75,NA,304,304,NA,58,"Pattern cycling"
32,3,1.69568e+12,1.69568e+12,NA,500,500,NA,0,0,NA,500,500,NA,58,"Pattern cycling"
33,0,9.32498e+17,9.32498e+17,NA,382,382,NA,22,22,NA,360,360,NA,92,"Pattern cycling"
33,1,7.13007e+14,7.13007e+14,NA,421,421,NA,87,87,NA,334,334,NA,92,"Pattern cycling"
33,2,1.46011e+15,1.46011e+15,NA,378,378,NA,37,37,NA,341,341,NA,92,"Pattern cycling"
33,3,259292000,259292000,NA,344,344,NA,0,0,NA,344,344,NA,92,"Pattern cycling"
34,0,4.75224e+13,4.75224e+13,NA,336,336,NA,62,62,NA,274,274,NA,9,"Pattern cycling"
34,1,38365500000,38365500000,NA,284,284,NA,46,46,NA,238,238,NA,9,"Pattern cycling"
34,2,9148630000,9148630000,NA,317,317,NA,93,93,NA,224,224,NA,9,"Pattern cycling"
34,3,5129780000,5129780000,NA,397,397,NA,0,0,NA,397,397,NA,9,"Pattern cycling"
35,0,3.31441e+17,3.31441e+17,NA,359,359,NA,8,8,NA,351,351,NA,17,"Set pattern"
35,1,1.97454e+11,1.97454e+11,NA,335,335,NA,81,81,NA,254,254,NA,17,"Set pattern"
35,2,18734800000,18734800000,NA,299,299,NA,68,68,NA,231,231,NA,17,"Set pattern"
35,3,946974000,946974000,NA,367,367,NA,0,0,NA,367,367,NA,17,"Set pattern"
36,0,1.47104e+19,1.47104e+19,NA,427,427,NA,43,43,NA,384,384,NA,140,"Pattern cycling"
36,1,6.13954e+17,6.13954e+17,NA,466,466,NA,66,66,NA,400,400,NA,140,"Pattern cycling"
36,2,3.15135e+16,3.15135e+16,NA,431,431,NA,60,60,NA,371,371,NA,140,"Pattern cycling"
36,3,1.27953e+12,1.27953e+12,NA,526,526,NA,31,31,NA,495,495,NA,140,"Pattern cycling"
37,0,9.36125e+16,9.36125e+16,NA,389,389,NA,49,49,NA,340,340,NA,24,"Set pattern"
37,1,6.747e+11,6.747e+11,NA,362,362,NA,96,96,NA,266,266,NA,24,"Set pattern"
37,2,5.7786e+10,5.7786e+10,NA,346,346,NA,104,104,NA,242,242,NA,24,"Set pattern"
37,3,2.9398e+10,2.9398e+10,NA,428,428,NA,0,0,NA,428,428,NA,24,"Set pattern"
38,0,8.37731e+15,8.37731e+15,NA,369,369,NA,50,50,NA,319,319,NA,18,"Set pattern"
38,1,2677390000,2677390000,NA,318,318,NA,106,106,NA,212,212,NA,18,"Set pattern"
38,2,2.4233e+11,2.4233e+11,NA,340,340,NA,84,84,NA,256,256,NA,18,"Set pattern"
38,3,1759480000,1759480000,NA,398,398,NA,20,20,NA,378,378,NA,18,"Set pattern"
39,0,1.66955e+16,1.66955e+16,NA,444,444,NA,119,119,NA,325,325,NA,69,"Set pattern"
39,1,4.97582e+13,4.97582e+13,NA,438,438,NA,130,130,NA,308,308,NA,69,"Set pattern"
39,2,1.53475e+14,1.53475e+14,NA,441,441,NA,122,122,NA,319,319,NA,69,"Set pattern"
39,3,1.28782e+13,1.28782e+13,NA,548,548,NA,12,12,NA,536,536,NA,69,"Set pattern"
40,0,5.24891e+17,5.24891e+17,NA,439,439,NA,84,84,NA,355,355,NA,42,"Set pattern"
40,1,1.07105e+13,1.07105e+13,NA,412,412,NA,119,119,NA,293,293,NA,42,"Set pattern"
40,2,5.23019e+12,5.23019e+12,NA,408,408,NA,122,122,NA,286,286,NA,42,"Set pattern"
40,3,3.3331e+12,3.3331e+12,NA,514,514,NA,2,2,NA,512,512,NA,42,"Set pattern"
41,0,4.12268e+20,4.12268e+20,NA,413,413,NA,0,0,NA,413,413,NA,172,"Pattern cycling"
41,1,8.36975e+19,8.36975e+19,NA,466,466,NA,18,18,NA,448,448,NA,172,"Pattern cycling"
41,2,1.13795e+20,1.13795e+20,NA,479,479,NA,28,28,NA,451,451,NA,172,"Pattern cycling"
41,3,1.62367e+14,1.62367e+14,NA,581,581,NA,0,0,NA,581,581,NA,172,"Pattern cycling"
42,0,2.14221e+11,2.14221e+11,NA,227,227,NA,0,0,NA,227,227,NA,6,"Set pattern"
42,1,12438500000,12438500000,NA,227,227,NA,0,0,NA,227,227,NA,6,"Set pattern"
42,2,5482830000,5482830000,NA,223,223,NA,4,4,NA,219,219,NA,6,"Set pattern"
42,3,356551,356551,NA,227,227,NA,0,0,NA,227,227,NA,6,"Set pattern"
43,0,6.60542e+17,6.60542e+17,NA,460,460,NA,103,103,NA,357,357,NA,143,"Pattern cycling"
43,1,8.34732e+17,8.34732e+17,NA,469,469,NA,66,66,NA,403,403,NA,143,"Pattern cycling"
