genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[98]ccbdJFeqcdceJKcAHrnvcevLcxpGhbHmHcnPccxqbdfccJoeJIFmcrNcqPruFtcQpAsrQQBdcPtxBBccMotHunHcyccotrHJep",2.15652e+12,6.15789e+08,350,392,45,0, 135
"[96]DKnoKQLLRHjfKlpxHCjIvdChnryGgphxLHCoMlAIuKMltzIjRCCPwdnpPHuxqJcoEHxefdKcJHNEHNmhchcHeJRmcpdeecyM",1.76278e+08,1.07878e+08,2043,232,0,0, 136
"[103]QcQmHEKDPvNdmJCceJdKcBwwHeccPupmdocHocfjnaKcPMcQnpdcCcjfcHccoIJQoMccNPLBkHqafHcyBzaucxcMJccHMcfCcbeEcin",1.06807e+09,120872,282,417,115,1, 137
"[90]MqOCHjgcMvFHlMJcPcLjccfRJyxyrlzicfCccOPiycHpmuJolHmocBOHrBlhOHyEcaHKcbHnffbccHDcjncqeRuKPG",2.86321e+16,9.5253e+06,661,715,252,0, 138
"[102]eANcwckufvwccczOhcccJHdHHrcRPpljpMkOapcHducgcLKKccceeBcCcbEyHQlKPcckQcccJnccDEczjbkxcBcOcbcqevazucDBci",7.60713e+09,301125,263,530,252,0, 139
"[104]xwacgcDccdccOQcHtcccOccacnctlcuurdwcJcNocctcKcchcHcRKccyycccccBcncbcHpcBcrcvBchcjccnMcccrxcKccCccqHEcqcG",3.31904e+10,18104.4,108,393,97,0, 14
"[76]FxicBcBzHOwKcMyBKcjcmciLleMdfopHdAakfJpeaaFpfoicPCzocBnceHOcQfOJNjgmsHHzogwn",1.01105e+13,8.4015e+09,1298,830,395,1, 140
"[95]JcmQcFaiffOnaLAFpBQjOsdjcfHjycKsHraatdRbHaxrFQcQtMEsdapdbbzocHrecnNeNLxrdzPafmNBwLdbHoNfQgcjrQG",4.19638e+11,6.59672e+08,653,521,194,0, 141
"[99]unHiHMcGRcNoLHLJMMDcJnPEsMmvpcfbjfweHrCMeRPJxcHFkLFpHEckAhMirxcaugbHcHmmKcnaOcJhbcuhCbQpcccnAPmHJHL",5.54388e+08,349921,530,273,27,0, 142
"[98]ccQcEccKcxzcBcjcKccscciwcccccKcLctKDczcccukxcmcNcHcncHccqccAParnjeccqccccJHkccmcEcHocjRCccLMRwcnaG",4.67998e+07,6898.98,104,277,32,3, 143
"[87]hcgrBccvclNQcmchontJcvcAABccKHPccqHPcHbpFqccjccRRQcchzacNrNbCcFHyjLcJmcoxodgenEcHnwHHPG",2.5945e+11,6.54366e+06,518,446,96,2, 144
"[100]mjMcchxcHcnJcbHcMcacbKkfPccMExcNcxtuBcucHjcFwcccawxcccPIyccCcccLccccQHcCcMbcycsccPczJHeHcAcfBbszkdNG",7.24294e+08,2286.24,136,505,222,3, 145
