"","seed","merit_mean","merit_median","nutrients_consumed_mean","nutrients_consumed_median","nutrients_consumed_sd","moves_off_path_mean","moves_off_path_median","moves_off_path_sd","base_score_mean","base_score_median","base_score_sd","task_quality_mean","task_quality_median","task_quality_max","task_quality_min","task_quality_sd","coverage_mean","coverage_median","coverage_max","coverage_min","coverage_sd","seed_order"
"25",119,4716030.7,2657550,245.58,236,25.8750611183585,42.59,39,20.2025575938625,202.99,199,6.12577762534289,0.165192650195079,0.164166666666667,0.18346957311535,0.152024446142093,0.0109325198722995,0.199861225637642,0.196666666666667,0.2272,0.169595110771581,0.0235015550628668,25
"26",61,1915900.155,2676980,214.81,220,23.9476259340835,31.44,28,15.496705417213,183.37,205,29.6360601397362,0.150025376403422,0.164247517188694,0.170833333333333,0.1184,0.0194350549689015,0.17566999012357,0.183333333333333,0.185637891520244,0.165304268846503,0.00958763225106497,26
"27",5,2194893.11,2813630,203.25,209,15.7751722845128,11.64,10,3.52056010236204,191.61,202,14.363882174089,0.159518155726199,0.1648,0.168333333333333,0.144385026737968,0.00833405844977859,0.169135959706052,0.174166666666667,0.1776,0.155080213903743,0.00805726788947932,27
"28",96,5867613.85,3754010,281.94,299,30.150404121452,78.92,89,17.6232628630283,203.02,210,13.396803478231,0.167961215104818,0.168,0.182561307901907,0.15,0.0113661769046568,0.232596112298078,0.240690281562216,0.245225362872422,0.199166666666667,0.0174634080060133,28
"29",38,9657910.2,4156990,243.39,244,27.2103274363231,30.5,33,5.60933565269957,212.89,207,23.6091469177058,0.173745945024629,0.168977066303361,0.188693659281895,0.1656,0.00977467986022221,0.198544691374395,0.1952,0.213903743315508,0.187102633969119,0.0103264133443965,29
"30",161,20774487.2,4334290,236.37,229,20.5670399258895,20.42,15,13.4451222802663,215.95,220,9.90803673384349,0.179003612080552,0.169595110771581,0.199818346957312,0.169166666666667,0.0127241377965351,0.19559089122119,0.184110007639419,0.2208,0.181666666666667,0.0158744788060394,30
"31",77,22356788.4,4433230,255.94,251,16.4149599174323,35.44,42,9.87939392080426,220.5,209,26.058403712438,0.180791682914831,0.169845594913715,0.195569136745607,0.1672,0.0135032479660877,0.210416428056583,0.21161191749427,0.220833333333333,0.2008,0.00712999019909561,31
"32",174,23699932.62,4643160,236.96,241,47.3213642570828,31.06,18,26.0057569384049,205.9,223,24.4571362827195,0.171016317044925,0.170359052711994,0.202543142597639,0.143333333333333,0.0228135869950792,0.196033362211865,0.210847975553858,0.232,0.146666666666667,0.0362925281099101,32
"33",113,33662127.4,5328510,243.14,243,16.4236956187631,26.42,18,14.3633793609536,216.72,225,11.4451524739304,0.178380704672258,0.171886936592819,0.206176203451408,0.16,0.0171681089671468,0.200334576123241,0.185637891520244,0.237965485921889,0.178333333333333,0.0233372099298208,33
"34",57,17643212.71,6070290,229.75,222,20.7161553119562,24.31,25,5.87701394666483,205.44,208,18.0640387219884,0.168417296844524,0.173333333333333,0.198001816530427,0.14209320091673,0.0234993818744206,0.188236461043471,0.185,0.221616712079927,0.161191749427044,0.0258429717077482,34
