genome,merit,merit_given,gen,nutrients_consumed_mean,moves_off_path_mean,map_idx, seed
"[101]rgcccBPacOcsdbHxHyIikdHccMcHNkrCcegpnbbnwfyhcLdlcOkMczynOckDbKhgcuBcQctrHgQlKmjccrcvRbHLbfMfPdePfOcQG",1.07832e+08,1315.3,269,343,31,1, 164
"[93]PeaxcnccIQcIcOcGfccPMKLHHzHcAcIlIccDcmaHuAcPdpcnccccchncJHEcecnmiccIJaevgeoQnNBceMccbccCbKcpG",4.92087e+06,171446,141,233,3,2, 165
"[106]FcFQcccKccdmcpssHLHcvgcgcBccDcBcfcHcBPzccRcIcnccHcOcNciKuFccPcccoAocccaqxIFKccjcgdLichcIuMFmpzeOcNDPcxGcJG",5.66476e+14,5.03534e+07,130,602,58,3, 166
"[102]NDccJucrKHcobJcHfHcfNsccQIccLLcHMcGmwccwcBPoybQHIdFcqcfeccBhLcscyfccFcHnblcILcLMhcfHDckycwkccucgzkxcgo",5.41721e+11,35986.4,144,385,18,0, 167
"[90]JlvmAOiKINBExKcHdHceFjcJHmQhMCcyosmNcwccHbpjrAMpoclfcxhcOccQpLhfHczsIscsHHcgcAcRcMLpJcoJwJ",1.22819e+26,1.02564e+19,303,973,157,0, 168
"[95]LtoErcxHefHBHuvcbasHymczcHscgQeEIlLBIKcMJFnLHyIHcvrpcicvcHFnrAHcHHcncJyystHamkINPxsyOjjcxwPucPG",8.17134e+18,3.15881e+23,278,781,131,2, 169
"[89]EcHIAzoHlbicFKPBmlOqnhlrcwHhcRtHHHHOHHHLHzJAwcCpkGDPlxjuyMcAnOJyschHEcHBcLclCrMLQmNApvGyD",1.50365e+20,2.03688e+11,2751,815,71,3, 17
"[99]cwccBKcHccoDcMHwlcQccsiIccPBvwcLcccOccccccccdctccccdcocHcccggiHcOGccocccwcLcycmccOcucczcxpccbvcccHP",6479.69,5.34428e+08,76,131,0,2, 170
"[99]EeAcxKcbdHucBcHtcHHNIkkcdfKhcqNfcnrKcurcPHmtcDccpcccmIFccQGCjmvkcrcQKQmzHPLcKccoHMcgMcwcebyjvHGHcoP",5.33306e+19,1.72944e+14,220,1092,414,2, 171
"[102]xcKcxcLdMeKcHxccwzHvOFbGuOcFBecHvacsaxcmHsndHchnfxcBIgCciHopaocHafcHnHhrHHzcHIMcgqLAncCFNwPfyjBDCDmmmG",2.0971e+07,240388,302,244,15,0, 172
"[83]niAnasfOdaAguDmoGyGPfbbijvwpEvlloeOhKFNIxHclIbccPNtwKPqoszvuHHHnJKNHMQKcOJRcjHqPccz",5.97737e+17,1.74475e+10,399,667,111,0, 173
"[100]vopbLHMEKuccEcKcidupNcpnMBqccbMocvKQHjyoOdtNccHQblikdbcHonccOeDHLcQgeHHmcpbaIvPdJnJdegHNcJscHJcMkcbA",1.10824e+13,3.05541e+07,304,433,25,0, 174
